inflation gdp derivatives seen on the way;companies may soon be able to trade derivatives of major economic indicators such as inflation and gross domestic product gdp as a hedge against business risks a seminar was told on mondayadrian maconick head of risk management at londonbased deloitte and touche consulting group said he saw demand from companies for derivatives products based on economic variablesall sorts of things can be commoditised and once theyre a commodity you can have a futures and an options exchange to manage the risk he told a seminar on financial markets in 2000 at a twoday derivatives forum in amsterdammaconick said the technology used in exchangetraded options and futures businesses could be applied in a wider arenahe could not predict when he believed derivative products based on economic indicators would be introduced but believed it was technically feasible to do itafter the seminar maconick told reuters he expected strong demand from companies for products that addressed business risk which he saw as bigger for companies than financial riskhe said companies could deal with many of these challenges internally but they would also need specific derivatives to deal with specific risksthe most obvious ones are the big economic variables things like gdp and inflation theres no technical reason why these can not become derivatives he saidat the moment there isnt a clear market to handle itbusiness risks include changes in demand for a companys products while financial risks include movements in interest rates and currenciesmaconick said firms could currently get tailormade oneoff products or use surrogates for these indicators such as metal prices which tended to move in line with economic activity but these left a mismatch between risk and hedging garry west amsterdam newsroom 3120504 5000;0
court says to rule on vwgm lawsuit oct 30;a german court said wednesday it would rule at the end of the month on a charge of defamation brought by automaker volkswagen ag against general motors and gms german subsidiary adam opel agfollowing statements from lawyers for both companies at a hearing at the frankfurt district court judge guenther kinnel closed proceedings and said he would announce the courts ruling on oct 30vw is demanding 10 million german marks 654 million in damages for statements made by gm and opel officials last march when gm filed a claim in the united states accusing vw of industrial espionagewednesdays hearing was the latest development in a threeyear series of legal battle between the two car giantsgm alleges vw production chief jose ignacio lopez de arriortua and seven other former gm managers stole secrets on purchasing and car production plans when they moved to vw in early 1993frustrated by the lack of progress in almost three years of legal action against vw in germany gm said at news conferences held on march 8 in detroit and ruesselsheim near frankfurt it would seek justice in the united states in the espionage case by filing a complaint at a federal district court in michiganvw has since filed a motion to have that case dismissedat wednesdays hearing vws lawyers said gm had sought to prejudice public opinion at the news conferences when it said its us complaint accused vw and top officials including vw head ferdinand piech of conspiracy conversion the misappropriation of trade secrets and racketeeringthe lawyers also accused opel of seeking to present vw as a criminal organisation in the public eye for example by distributing a chronology of the threeyear saga to the press;1
focus court says to rule on vwgm lawsuit oct 30;a german court said on wednesday it would rule at the end of the month on a charge of defamation brought by carmaker volkswagen ag against general motors and gms german subsidiary adam opel agfollowing statements from lawyers for both companies at a hearing at the frankfurt district court judge guenther kinnel closed proceedings and said he would announce the courts ruling on october 30vw is demanding 10 million marks 654 million in damages for statements made by gm and opel officials last march when gm filed a claim in the united states accusing vw of industrial espionagewednesdays hearing was the latest development in a threeyear series of legal battle between the two car giantsgm alleges vw production chief jose ignacio lopez de arriortua and seven other former gm managers stole secrets on purchasing and car production plans when they moved to vw in early 1993frustrated by the lack of progress in almost three years of legal action against vw in germany gm said at news conferences held on march 8 in detroit and ruesselsheim near frankfurt it would seek justice in the united states in the espionage case by filing a complaint at a federal district court in michiganvw has since filed a motion to have that case dismissedat wednesdays hearing vws lawyers said gm had sought to prejudice public opinion at the news conferences when it said its us complaint accused vw and top officials including vw head ferdinand piech of conspiracy conversion the misappropriation of trade secrets and racketeeringthe lawyers also accused opel of seeking to present vw as a criminal organisation in the public eye for example by distributing a chronology of the threeyear saga to the pressyou are welcome to try to prove that in the us and we will know more when that lawsuit is over but you were not justified to prejudice the case here on march 8 vw lawyer juergen kicker told opels representativesopels lawyer peter heckel countered the behaviour of your client reminds me of a wrongdoer who cries stop thief to conceal his own guiltgm and opel had a right to inform the public of the contents of its legal complaint and had tried hard to find adequate german translations for us legal terms like racketeering heckel saidvw and opel dispatched their legal experts to the hearings but there were no senior executives present 115297 mark;1
german court says to rule in vwgm lawsuit oct 30;a german court said on wednesday said it would rule by the end of the month on a charge of defamation brought by volkswagen ag against rival carmaker adam opel agvolkwagen is seeking 10 million marks in damages for statements made by officials from opel and its us parent general motors at news conferences last march to announce they had filed a lawsuit against vw on industrial espionage chargesfollowing statements from lawyers for both companies at a hearing today judge guenther kinnel at the frankfurt district court closed the hearing and set october 30 as the date on which the court ruling would be announcedvolkwagen and gm have been bitterly squaring off in a series of legal battles since jose ignacio lopez di arriortua left gm to join vw as head of production and procurement in 1993gm alleges that lopez and several other former gm executives who joined vw with him stole industrial secretsat news conferences in march gm and opel officials announced they were launching a lawsuit in the us against vwdavid crossland frankfurt newsroom 49 69 756525;1
clinton signs annual intelligence bil;president bill clinton on friday signed into law a spending authorisation for a dozen us intelligence agencies despite misgivings about some of its provisions which he said he would seek to rectifyclinton also signed a related measure the economic espionage act of 1996 which strengthens safeguards against the theft or misuse of proprietary business informationuntil today federal law has not accorded appropriate or adequate protection to trade secrets making it difficult to prosecute thefts involving this kind of information clinton said in a written statementhe said the new statute was an outstanding example of his administration congress and business working together to provide law enforcement with the tools to combat the problems of economic espionage and trade secret theftthe funding level of the intelligence authorisation was secret but clinton said in a statement it largely reflects my budget requestthe united states reportedly spends about 28 billion a year on foreign intelligence operationsclinton expressed reservations about some provisions of the bill that he said either duplicate initiatives he has taken or encroach on his constitutional powersthese included a stipulation that two new national security council committees be created a requirement that the director of central intelligence dci be consulted on certain appointments and the mandating of three new intelligence poststhe administration has supported the concept of obtaining the dcis concurrence or consultation prior to the appointment of certain other intelligence officials clinton said but he said he would mandate this by executive order to avoid possible constitutional problems with making it lawclinton said the three new intelligence posts would just be another layer of bureaucracy and vowed to ask the next congress to repeal this provis;1
croatia says hires foreign auditor for state firm;croatia announced on monday it had hired foreign auditor arthur andersen to review finances of stateowned firms as part of a restructuring programme to be cofinanced by the world bank news agency hina reportedhead of the office for economics and restructuring of public sector firms dunja vidosevic was quoted as saying the bank had granted croatia 5 million for technical assistance on the project of extensive economic and financial sector reformsthey are to include a rehabilitation and privatisation of state firms including national oil utility ina and railways and a radical banking overhaulas a first step the government will have all public sector firms independently audited in accordance with international standards and introduce a single financial reporting system by the end of february 1997after the debts of these firms are identified it should also enforce stricter internal auditing and supervision as vital for cost cutting and improving their efficiencylarge enterprises are later to be trimmed down in size through a sale of noncore businesses and substantial layoffsof 16 public sector firms three made losses last year led by ina with a 12 billion kuna loss kolumbina bencevic zagreb newsroom 38514557075;0
gm says to leave vw dispute to court;general motors corp responding to reports that volkswagen ag hired former political consultant dick morris to help in a public relations battle with gm said it will rely on a jury to decide the matterwe remain committed to presenting our case to a jury not focusing on how best to put a particular spin on events for the media gm said in a statement read by gm spokesman john muellerthe international heraldtribune said morris who resigned from president clintons campaign following newspaper reports that he had an affair with a prostitute had been retained to help vw in its public relations battle with the worlds largest automakergm sued vw last march alleging vw production chief jose ignacio lopez de arriortua and several other top vw executives stole product and purchasing secrets when they left gm to work at vw in 1993vw has denied the claims and filed a countersuit against gm a federal district court judge in detroit is scheduled to hear motions from vw to remove the suit on wednesday;1
vw denies it hires exclinton consult;german carmaker volkswagen ag denied on tuesday a newspaper report saying it had hired as a consultant former white house consultant dick morris who resigned after a tabloid reported his affair with a prostitutethe international heraldtribune quoted vw chief spokesman klaus kocks as saying morris had been hired to help in its public relations battle with general motors corpa vw spokesman denied the report saying vw had not signed a contract with morris kocks was not available for commentthe report said morris was hired ahead of a critical us federal court hearing on wednesday in detroit the latest step in the battle between gm and its german subsidiary opel and volkswagen over allegations of industrial espionagegm has charged that former executive jose ignacio lopez de arriortua who left gm for vw in march 1993 with seven other gm executives took with them documents on purchasing and production plansvolkswagen has denied the chargeson wednesday a judge in detroit will hear volkswagens arguments to have gms case alleging industrial espionage thrown out of courtif the judge allows gm to proceed with the case vws top executives including vw management board chairman ferdinand piech could be put on trialvw has countered by filing a separate complaint in a german court alleging that gms public accusations amount to a breach of german competition law;0
vw hires clinton consultant for gm probe report;german carmaker volkswagen ag has hired as a consultant former white house consultant dick morris who resigned after a tabloid reported his affair with a prostitute a newspaper reported on tuesdaythe international heraldtribune quoted vw chief spokesman klaus kocks as saying morris had been hired to help in its public relations battle with general motors corpvw europes largest carmaker hired morris less than two months after he withdrew from the clinton campaignkocks was unavailable for comment on tuesday another vw spokesman declined comment on the reportthe hiring of morris comes ahead of a critical us federal court hearing on wednesday in detroit in the battle between gm and its german subsidiary opel and volkswagen over allegations of industrial espionagegm has charged that former executive jose ignacio lopez de arriortua who left gm for vw in march 1993 with seven other gm executives took with them documents on purchasing and production plansvolkswagen has denied the chargeson wednesday a judge in detroit will hear volkswagens arguments to have gms case alleging industrial espionage thrown out of courtif the judge allows gm to proceed with the case vws top executives including vw management board chairman ferdinand piech could be put on trialvw has countered by filing a separate complaint in a german court alleging that gms public accusations amount to a breach of german competition law;0
gm vw lawyers face off in lopez spy cas;lawyers for general motors corp and volkswagen ag were to face off in a us court for the first time wednesday in the threeyearold saga of j ignacio lopez de arriortua and gms industrial espionage charges against vwin a hearing scheduled for 2 pm edt 1800 gmt us district judge nancy edmunds will hear oral arguments on several motions in the lawsuit gm filed against volkswagen in march including vws motion to dismiss the casegm alleges that when lopez abruptly left the detroitbased automaker to become vws production chief in march 1993 he stole trade secrets including product plans worldwide prices that gm pays for parts and plans for a superefficient manufacturing concept called plant xthe lawsuit alleges that lopez vw chairman ferdinand piech and other defendants set up an elaborate operation to copy gm information into vw computers and then shredded the documents gm claims that the plant x concept in which outside suppliers take a greater role in vehicle assembly was used in a new vw plant in brazilvolkswagen has denied the allegationsif edmunds rules that the case can proceed another hearing will be held oct 28 to determine whether gms claims of racketeering copyright infringement and trademark violations should be included in a trial on the casegm had difficulty serving the suit to lopez who has avoided the united states since he left gm but gm process servers caught up with him at a vw executive meeting in vancouver canada in june and served him with the suit as he used a telephone in a hotel lobbygm also will ask edmunds whether it can mail the suit to three of the 11 defendants in the suit who have not yet been served vw executives jorge alvarez rosario piazza and andre versteegvw subject to continuing criminal investigations in both germany and the united states sued gm and its adam opel ag unit for defamation in a german court in may claiming gm made false accusations against vw a decision in that case is expected oct 30;1
